Classification ,GPA
Senior,2.1
Junior,2.3
Sophomore,3.53
Senior,3
Junior,2.42
Junior,3.54
Senior,3
Senior,3.1
Senior,3.96
Freshman,3.6
Junior,3.85
Senior,3.19
Senior,4
Senior,3.5
Senior,3.3
Junior,2.11
Sophomore,3.4
Senior,3.93
Sophomore,3.05
Senior,4
Sophomore,3.3
Senior,3.17
Sophomore,3.3
Junior,3.17
Senior,3.48
Senior,4
Freshman,3.6
Junior,3.8
Senior,3.6
Sophomore,2.74
Senior,3.4
Freshman,3.42
Senior,4
Junior,3.75
Junior,2.48
Sophomore,2.52
Senior,3.76
Senior,4
Junior,3.2
Senior,3.78
Senior,3.8
Sophomore,3.92
Senior,3.5
Senior,3.85
Senior,3.6
Senior,3.82
Senior,2.5
Senior,3.67
Freshman,2.8
Freshman,3.66
Freshman,3.12
Freshman,3.2
Senior,3
Junior,4
Senior,3.95
Freshman,4
Junior,4
Senior,2.75
Junior,3
Senior,3.5
Freshman,3
Senior,3.5
Senior,3.7
Freshman,3.4
Junior,3.94
Junior,3.6
Senior,3.92
Junior,3.8
Senior,3.5
Sophomore,3.5
Senior,3
Junior,3.6
Senior,3.9
Senior,3
Junior,3.17
Sophomore,3.4
Junior,3.85
Junior,2.7
Senior,3.25
Junior,2.5
Freshman,4
Senior,3.72
Junior,3.82
Junior,4
Junior,3.2
Junior,4
Junior,3.94
Junior,3
Junior,3.15
Senior,3.18
Senior,3
Senior,3
Senior,3.4
Freshman,2.75
Freshman,3.5
Freshman,4
